Token,Cosine Similarity
[CLS],0.9820025
amicus,0.9941995
cum,0.99447125
uideo,0.9953595
obliuiscor,0.98484135
miseria,0.98071647
inimicus,0.9772108
si,0.9904783
sum,0.9938517
comminiscor,0.9834446
neque,0.99306357
libens,0.99434096
aeque,0.968784
[SEP],0.971499
postremus,0.9912486
dico,0.9838836
primus,0.99369
taceo,0.9925438
apud,0.98741084
latinus,0.96928126
marcius,0.9863522
uates,0.9965638
praeceptum,0.95943755
compono,0.99272376
ex,0.9874707
qui,0.99591964
ille,0.99176186
ne,0.98774016
medeor,0.9900991
queo,0.9950664
nullus,0.99216336
hic,0.99425244
unus,0.98460656
multus,0.99290884
consentio,0.9856269
gens,0.98480844
populus,0.95693046
primarius,0.95378876
uir,0.9875201
-ne,0.9800615
an,0.9926361
cimex,0.9255171
pes,0.99355763
respondeo,0.97376573
ego,0.9855135
corruo,0.9830656
quasi,0.9724012
ictus,0.99428034
sicina,0.88485205
hau,0.888994
secus,0.92627645
meus,0.9503721
puera,0.78967
quis,0.99189955
uerbum,0.9835008
tuus,0.9611543
os,0.98947
supra,0.99046993
fugio,0.99521863
quando,0.977586
dies,0.8866028
aduenio,0.98370767
profor,0.9822972
morior,0.9921028
daps,0.99196327
festus,0.94799334
inferus,0.98920524
superus,0.9934599
tu,0.9873507
fero,0.9947552
deus,0.9694226
funus,0.9934953
ulixes,0.9900216
malus,0.99091464
imito,0.9893272
tum,0.98931396
pretium,0.97542596
pro,0.9863988
noxa,0.9858217
do,0.99127185
nam,0.9903203
pergama,0.98876435
accensa,0.89771086
et,0.9889073
praeda,0.9873523
per,0.99094546
particeps,0.979894
aequiter,0.8550664
partio,0.9889709
autem,0.98052216
lasciuus,0.99456716
nereus,0.98991525
simus,0.8954445
pecus,0.9932153
ludo,0.99428964
ad,0.9904788
cantus,0.99099386
classis,0.9899723
lustro,0.995872
oculus,0.9800515
species,0.98158723
laeto,0.9937209
optabilis,0.96122575
nemo,0.9867747
uoster,0.90335035
ruminor,0.8606254
mulier,0.9689134
que,0.98921484
adeo,0.9847569
laudo,0.9927725
lubens,0.9276677
in,0.99166054
sedes,0.989622
conloco,0.98904496
sui,0.99149656
regia,0.97993743
clytemestra,0.952581
iuxtim,0.9141468
tertius,0.9913709
occupo,0.9953799
ipsus,0.8929033
terra,0.97730637
saucius,0.9922133
cado,0.9936073
quin,0.97720915
paro,0.99520445
uos,0.9828776
maiestas,0.9843142
proco,0.90212154
tolero,0.98867023
templum,0.98060703
deduco,0.98959905
mirus,0.9929855
quod,0.99252814
facio,0.9871377
iam,0.99316806
diu,0.99129385
praesto,0.9858762
laus,0.9835778
uirtus,0.98564726
sed,0.9928489
ocior,0.9909664
vernus,0.9584617
gelu,0.98929775
tabesco,0.9875318
ubi,0.99128824
conuentus,0.98265505
campus,0.9950869
totus,0.99182093
etiam,0.9850017
mitto,0.9817281
is,0.980368
magis,0.9878496
quam,0.9910678
hice,0.9748709
ops,0.99262583
peto,0.9926491
precor,0.9927301
porrigo,0.9948143
obsecro,0.95062906
mater,0.9871416
rarenter,0.9027622
uenio,0.99284905
nimis,0.9750953
pol,0.8479265
impudenter,0.94570315
seruus,0.9851079
puer,0.99291134
interea,0.9871125
ancilla,0.94382167
subdo,0.9873237
lacto,0.98195475
fames,0.986669
credo,0.9815844
uoluntas,0.9898318
numquam,0.9917585
limo,0.94267535
caput,0.99107087
flos,0.9910893
liber,0.9857558
carchesium,0.9646598
ascendo,0.9664305
alo,0.9932865
celsus,0.9888447
aruum,0.99736845
puter,0.9913986
mare,0.9889524
magnus,0.9910774
namque,0.9936056
taenarius,0.9567615
haut,0.97731566
ut,0.99173343
chirus,0.8209977
doceo,0.9967053
quisquis,0.99227136
uolo,0.99457544
castalia,0.9687034
struix,0.8995328
saxeus,0.9860775
lapsus,0.9750282
accido,0.9928815
lacteus,0.98583615
locus,0.9888344
manus,0.97956604
conficio,0.9917387
pulcerrimus,0.9165162
praeco,0.98486024
medius,0.99108493
prouoco,0.9917249
fabula,0.9926115
probus,0.96017957
gnor,0.93476796
geminus,0.99499863
alter,0.9922378
falsus,0.99562323
occido,0.99378026
subluster,0.9276767
noctu,0.9825684
interficio,0.98758566
ago,0.98766124
de,0.9815347
equus,0.9926966
sinus,0.99270284
pax,0.9796113
postea,0.9887825
uendo,0.988908
nisi,0.9884853
uinco,0.99786603
dedo,0.9928892
opus,0.97604156
non,0.99388164
uis,0.97871065
nolo,0.9853704
cupio,0.989896
semper,0.99201065
plus,0.99250996
potior,0.99032694
habeo,0.9912961
libertas,0.9559928
pecunia,0.9774299
quomodo,0.9742588
modo,0.9819528
dica,0.98534036
nimium,0.98955256
o,0.9725901
ars,0.99260116
colligo,0.99348605
cur,0.99428153
res,0.98495716
inquaero,0.7899512
umquam,0.9910693
quisquam,0.98801374
carnifex,0.9883386
cedo,0.9938084
quidem,0.96651065
loquor,0.9751186
perdoceo,0.97017527
longe,0.99279743
promico,0.83164585
oratio,0.96807873
est,0.66335094
scena,0.931975
nocturnus,0.99515516
coepio,0.99127996
tollo,0.99452037
caepe,0.89354396
profluo,0.9747598
perdo,0.9931226
caepa,0.8606819
profero,0.9938916
item,0.984147
leo,0.94598055
obdo,0.9549259
oreus,0.7676757
heri,0.9047624
praenestinus,0.9724071
hospes,0.9919487
suopte,0.9799082
uterque,0.9919872
decet,0.9918449
accipio,0.9927966
cibus,0.98125297
inanis,0.9930058
madidus,0.9946517
nux,0.9902054
procliuis,0.97750026
mensa,0.98414135
asto,0.9797046
ipse,0.9882432
edo,0.9936507
admodum,0.9898494
ab,0.97686696
abscedo,0.98334235
decumo,0.8972115
pars,0.991564
quantum,0.99419874
alienus,0.98375714
polluceo,0.96879065
publico,0.9722574
epulum,0.97519386
hercules,0.9844391
uereor,0.99214506
asser,0.9618059
laudes,0.72417
uotum,0.99439704
multo,0.9822949
praeter,0.9889852
eminus,0.9680725
efflictim,0.9311556
amarus,0.98732674
uiuo,0.9933783
prosum,0.9942062
possum,0.9915708
ultrus,0.8338332
mereo,0.99101144
amo,0.9913981
ita,0.98767626
suus,0.98024577
riualis,0.9598779
saalue,0.9264051
atto,0.83967334
istic,0.93575627
uero,0.97513556
aduerto,0.99560654
tam,0.97170115
cito,0.99292547
utinam,0.9893024
nasus,0.97434556
aufero,0.9871577
mordicus,0.9736838
num,0.9856896
moneo,0.99470675
quippia,0.97023714
homo,0.98213315
formidulosus,0.96542335
stm,0.69878507
caueo,0.99117005
demolior,0.97267187
anima,0.95494246
ueneo,0.98719335
stilus,0.9825106
pungo,0.99236214
altus,0.9908401
nauis,0.989257
iubeo,0.992378
destituo,0.9915133
anchora,0.9561247
uter,0.98036236
melior,0.99325866
uidua,0.97004837
uxor,0.975535
duco,0.9915265
virgo,0.96083635
mustum,0.9940356
cupido,0.98819995
multum,0.9871018
ualeo,0.98878837
pecu,0.94622034
belua,0.9929662
saxum,0.9950697
silua,0.99655557
lapis,0.9896912
mons,0.98175955
disicio,0.989246
atque,0.99110276
bonus,0.98887724
omnis,0.97617084
heris,0.6389452
at,0.98209757
enim,0.986253
spissus,0.9810964
tarde,0.9948786
incedo,0.98915994
parasitus,0.9637854
alius,0.98740256
perna,0.9734073
callus,0.8316708
desino,0.9941046
socrus,0.9817624
frater,0.97987413
patruelis,0.96272725
patior,0.99380267
patio,0.9215932
mora,0.98663807
impero,0.99326843
labor,0.9947742
uisus,0.9950098
propitio,0.97704685
theatrum,0.9954247
probo,0.97915095
plausus,0.97381854
audeo,0.99488217
rex,0.9723416
rumpo,0.997075
quanto,0.97362494
supero,0.99541104
seruitus,0.98733395
chorus,0.9807849
communis,0.98696494
alium,0.9881507
adnuto,0.8025856
teneo,0.99411887
alibi,0.96747214
percello,0.99042225
anulus,0.9898434
spector,0.97186387
labrum,0.99181056
inuoco,0.9798323
canto,0.9898349
tamen,0.9921754
digitus,0.9928087
littera,0.97829366
facetus,0.98128337
defrico,0.9498144
utrubi,0.8721089
cenaturus,0.8236023
triclinium,0.98537755
ibi,0.98001814
eo,0.9883617
duo,0.98778003
adulescens,0.98694277
ante,0.85685986
pario,0.9907377
patria,0.9921236
peregre,0.96193767
prodigo,0.9756804
serius,0.9858091
salio,0.98449665
fortunatus,0.9635056
noster,0.9795388
pater,0.97375923
etiamna,0.94853354
appareo,0.98880255
confidentia,0.9693522
amica,0.9590237
fio,0.9898329
fidelis,0.96923244
nec,0.9947105
